url,clicks,impressions,ctr,position
https://www.namesilo.com/,1500,25000,0.06,2.5
https://www.namesilo.com/domains/com,800,12000,0.067,3.2
https://www.namesilo.com/domains/net,600,9000,0.067,4.1
https://www.namesilo.com/blog,400,8000,0.05,5.5
https://www.namesilo.com/support,300,6000,0.05,6.2
https://www.namesilo.com/whois,200,4000,0.05,7.8
https://www.namesilo.com/ssl-check,150,3000,0.05,8.5
https://www.namesilo.com/domain-broker,100,2000,0.05,9.2
https://www.namesilo.com/marketplace,80,1500,0.053,10.1
https://www.namesilo.com/tld/org,120,2500,0.048,4.8 
